size,path,id,color,name,entityID,order,s_height,height,guid,ground_lev,rise_by,level,coordinates
1000,city/house/house.62,house.62,"rgb(189, 186, 0)",,a6c0c27d-161d-4c9b-a144-c6caee2437b4,1.0,0.0,5.0,324003e4-0a3b-44b8-bd0b-c5b452a67908,Raise or lower,5.0,0.0,"[[[119.97510895187777, 30.521314125771273], [119.97512007965659, 30.52125646877156], [119.97508820972172, 30.521251975647218], [119.97507676004702, 30.52130913830663], [119.97510895187777, 30.521314125771273]]]"
1000,city/house/house.63,house.63,"rgb(189, 186, 0)",,a730ccb7-b4b3-4147-8e27-885da2d66a51,1.0,0.0,14.0,c12e2f87-cbcd-4490-bbe2-43410593c136,Raise or lower,14.0,0.0,"[[[119.97637463865378, 30.523650682470105], [119.97662295846847, 30.52368600669217], [119.97666542928657, 30.523462089008277], [119.97641103140816, 30.523423739990335], [119.97637463865378, 30.523650682470105]]]"
1000,city/house/house.64,house.64,"rgb(189, 186, 0)",,a918ee48-d22b-4a58-b3bf-844171babb79,1.0,0.0,9.0,2c03fdb2-1ff1-44fb-9a0d-7c213f4f8159,Raise or lower,9.0,0.0,"[[[119.97477139060398, 30.522084354583196], [119.97500107998927, 30.522116640001308], [119.9750138765373, 30.52204849443735], [119.97478366502133, 30.52201657140357], [119.97477139060398, 30.522084354583196]]]"
1000,city/house/house.65,house.65,"rgb(189, 186, 0)",,ae3fc7d8-6c33-4ea1-b85a-f70b66890e6b,1.0,0.0,8.0,85f76387-df67-4f16-9891-200261baee70,Raise or lower,8.0,0.0,"[[[119.97447361287576, 30.52122868214881], [119.97455293418916, 30.521226917793165], [119.97454491805502, 30.520963070317677], [119.9744654827718, 30.52096539358564], [119.97447361287576, 30.52122868214881]]]"
1000,city/house/house.66,house.66,"rgb(189, 186, 0)",,b4918acc-37a3-45cc-a0a5-3df8af9d2d1a,1.0,0.0,4.0,b5c3321f-da8d-4d60-8c11-6e2a8f1d0b4b,Raise or lower,4.0,0.0,"[[[119.97330527506071, 30.520792796286422], [119.97329956825455, 30.520738948271013], [119.97326790494743, 30.520741594180382], [119.97327377183035, 30.52079550892787], [119.97330527506071, 30.520792796286422]]]"
1000,city/house/house.67,house.67,"rgb(189, 186, 0)",,bb6ae8bc-faed-4e3e-b9f6-f4ec51f5b105,1.0,0.0,8.0,7641e29e-295a-42f6-8f5f-8cc00e0c0a50,Raise or lower,8.0,0.0,"[[[119.97499181760797, 30.521378239649056], [119.97500463472034, 30.521311033934722], [119.97481388807401, 30.521285033433298], [119.97480259794135, 30.5213518238019], [119.97499181760797, 30.521378239649056]]]"
1000,city/house/house.68,house.68,"rgb(189, 186, 0)",,bdfd866c-4a63-4add-956e-2e0817a9dff5,1.0,0.0,16.0,d95e9261-d181-4b6a-96a0-1e266a90583d,Raise or lower,16.0,0.0,"[[[119.97556225319076, 30.523113994675033], [119.97581378280229, 30.523147510082886], [119.9758382210893, 30.52298117067117], [119.9755926377843, 30.522947934632057], [119.97556225319076, 30.523113994675033]]]"
1000,city/house/house.69,house.69,"rgb(255, 183, 0)",A区11栋,c3d0c1c4-5450-47ba-be33-2308055c97a0,1.0,0.0,18.0,5392a144-e7d8-4c24-84e8-39a4e2fd7e67,Raise or lower,18.0,0.0,"[[[119.97517642672867, 30.522681181288984], [119.97512573041062, 30.522955938187543], [119.97534020371891, 30.522985221646252], [119.97539159833481, 30.522711000459918], [119.97517642672867, 30.522681181288984]]]"
1000,city/house/house.70,house.70,"rgb(255, 183, 0)",国遥大厦4栋,c48656b9-45a0-4d77-a45b-623471acf3c5,1.0,0.0,20.0,083d5916-2d97-4f20-b114-6390333f9941,Raise or lower,20.0,0.0,"[[[119.97717295447721, 30.523772588214488], [119.97716464101825, 30.52375889143975], [119.97687027501834, 30.523722653644597], [119.97683623080805, 30.52394189619035], [119.97710731307818, 30.523977437127254], [119.97713692408524, 30.52397710391882], [119.97717295447721, 30.523772588214488]]]"
1000,city/house/house.71,house.71,"rgb(189, 186, 0)",,c7537b1e-b96f-41ab-8456-12f6663cb3bd,1.0,0.0,8.0,318ee4c6-2b1c-49a9-93fb-830305c93497,Raise or lower,8.0,0.0,"[[[119.97505299797673, 30.521094665123623], [119.97486417844738, 30.521070652083043], [119.97485267750984, 30.521136828199324], [119.97504209569371, 30.521160336626313], [119.97505299797673, 30.521094665123623]]]"
